Station;Auto (gratis parking);Auto (betalende parking);Auto (totale parking);Auto (bezetting parking) ;Fiets (gratis parking);Fiets (betalende parking);Fiets (totale parking);Fiets (bezetting parking);BTM (frequentie);BTM (route);Trein (frequentie dinsd.);Trein (frequentie zat.) ;Trein (frequentie off-peak);Trein (amplitude);Reistijdcentraliteit;Overstapcentraliteit;Dichtheid (inwoners);Dichtheid (jobs);Dichtheid (basisvoorz.);Dichtheid (regionale voorz.);Dichtheid (metropolitane voorz.);Diversiteit (funct.);Diversiteit (ruimt.);Design (interface);Design (permeabiliteit);Design (fietswandel infrastr.)
Kijkuit;NA;0;NA;12;48;0;48;39;0;0;41;37;2;0,6;5,2;5,6;4166;763;186;152;78;5,7;67,1;379;310;2970
Knokke;370;0;370;63;300;0;300;173;264;7;20;16;1;0,5;3,2;4,4;9199;4321;215;156;145;5,8;79,6;820;607;6210
Koksijde;124;0;124;89;94;0;94;21;74;2;40;30;2;0,6;1,6;4,2;2237;940;92;97;86;4,5;82,8;255;200;2021
Kontich-Lint;255;0;255;204;633;0;633;506,4;117;5;68;64;4;0,7;8,3;6,0;5682;346;166;148;90;5,5;67,7;245;186;3223
Kortemark;119;0;119;147;204;0;204;99;55;2;40;30;2;0,5;4,8;4,2;2492;1451;143;93;5;5,7;73,3;282;225;2523
Kortenberg;185;0;185;186;182;0;182;133;347;10;96;74;6;0,6;9,5;7,1;5530;1478;160;125;85;6,3;72,1;350;264;3277
Kortrijk;56;481;537;455;1609;168;1777;1340;1175;28;180;109;8;0,7;7,2;7,6;15582;13284;275;240;199;8,1;88,4;988;725;7964
Kwatrecht;36;0;36;23;28;0;28;17;69;3;43;34;2;0,6;8,2;5,6;1088;2395;102;100;66;4,2;83,3;144;147;1766
Landegem;90;0;90;119;194;0;194;272;4;1;51;36;2;0,6;8,5;6,3;1892;497;113;59;4;3,8;71,9;339;184;1947
Landen;755;0;755;604;231;0;231;184,8;196;7;112;71;5;0,7;6,8;6,6;6132;1496;203;112;16;5,3;64,4;501;385;5080
Landskouter;13;0;13;6;6;0;6;13;12;1;44;0;2;0,5;7,4;1,9;722;46;65;63;60;1,2;62,0;98;122;936
Langdorp;57;0;57;23;122;0;122;47;0;0;43;35;2;0,6;7,8;5,4;2140;106;116;135;110;4,6;56,2;253;232;2129
Lebbeke;93;5;98;123;180;0;180;110;0;0;69;32;4;0,6;6,8;5,3;4836;949;190;184;142;4,9;68,3;379;292;3251
Lede;397;0;397;407;416;0;416;368;40;2;80;69;4;0,6;7,9;5,3;6775;870;188;140;98;6,7;62,3;528;396;4986
Lembeek;106;0;106;85;26;0;26;20,8;82;2;64;33;4;0,5;8,9;5,8;4204;936;150;141;47;5,1;69,4;405;331;3291
Leopoldsburg;233;0;233;140;316;0;316;120;178;6;34;30;2;0,5;2,4;0,1;6183;1235;174;137;78;7,6;72,3;424;293;4273
Leuven;0;1059;1059;937;5332;826;6158;5669;2615;51;404;230;22;0,7;9,1;7,6;17512;14794;257;244;224;8,4;85,7;892;618;7512
Lichtervelde;123;0;123;97;413;0;413;171;62;4;118;76;6;0,6;5,7;5,8;4191;1073;121;79;22;5,9;74,2;362;270;2871
Liedekerke;204;357;561;428;420;0;420;359;148;3;151;105;8;0,6;9,3;6,6;3777;764;173;128;94;4,8;70,5;300;231;2874
Lier;418;32;450;360;1108;0;1108;886,4;1167;25;227;138;12;0,6;7,7;5,5;13370;5387;195;165;144;7,6;78,7;668;499;5529
Lierde;160;0;160;88;84;0;84;35;10;1;49;32;2;0,6;5,4;1,9;1170;108;82;38;3;2,6;61,4;138;97;1405
Linkebeek;25;0;25;20;30;0;30;24;590;3;132;101;8;0,6;9,1;5,9;6859;2384;216;196;178;7,0;70,8;672;495;4061
Lissewege;70;0;70;21;70;0;70;35;11;2;31;14;2;0,3;4,8;3,1;2135;276;99;55;79;2,4;66,0;207;161;2107
Lokeren;536;0;536;569;1106;110;1216;975;209;12;183;118;10;0,6;7,9;5,6;10819;4620;208;170;123;7,8;81,5;722;582;6008
Lommel;166;0;166;133;260;0;260;208;64;1;34;35;2;0,6;3,0;1,0;2307;447;145;145;53;4,3;71,8;259;291;3017
Londerzeel;71;0;71;131;239;0;239;225;242;9;78;32;4;0,6;7,7;3,6;5263;1344;175;132;40;5,8;70,9;569;341;3914
Lot;112;0;112;90;26;0;26;20,8;490;5;64;33;4;0,5;9,3;6,6;3389;1679;135;135;122;5,4;76,6;270;228;3044
Malderen;66;0;66;22;272;0;272;141;5;1;42;32;2;0,6;7,2;3,6;2936;216;131;95;25;3,8;55,3;322;180;2075
Maria-Aalter;33;0;33;13;72;0;72;87;0;0;42;36;2;0,7;7,4;6,3;623;50;55;45;10;1,0;67,5;93;89;866
Mechelen;0;1096;1096;742;2300;151;2451;2902;1558;37;467;271;26;0,7;9,1;7,2;17675;13707;240;202;178;7,5;84,6;758;529;6151
