stop_id;station;typeNP;typePP;N_CA_Park_f;N_CA_Park_p;N_CA_Park_Tot;N_CA_Park_occ;N_AT_Park_occ;N_AT_Park_f;N_AT_Park_p;N_AT_Park_Tot;N_BTM_freq;N_BTM_rout;N_TR_freq_tue;N_TR_freq_sat;N_TR_freq_off;N_TR_amp;N_TR_ttcentr;N_TR_trcentr;P_DE_res;P_DE_job;P_DE_bas;P_DE_reg;P_DE_met;P_DI_shan;P_DI_IJI;P_DG_IC;P_DG_perm;P_DG_netw;PP_MOT_sec;PP_MOT_tert;PP_MOT_work;PP_MOT_other;PP_RID_orig;PP_RID_rid;PP_RID_dest;PP_EFF_walk;PP_EFF_bike;PP_EFF_far
8895869;Haaltert;1;2;267;0;267;208;72;127;0;127;45;2;48;34;2;0,607100694;8,303540975;5,074468084;2853;599,6147666;160,5459038;129,8658457;132,2474631;4,472049689;69,1219;229;189;2528;0;0;0,009470642;0,030749059;0,959780299;0,092718264;0,040219701;0,173629243;0,471279373;0,355091384
8814308;Halle;2;1;642;69;711;568,8;483,2;324;280;604;878;12;325;146;19;0,624538966;9,130616269;6,776595749;11608;4228,000516;218,6917107;190,1868886;80,83823101;6,938082298;78,2559;720;550;5645;0,071862329;0,019910218;0,117391994;0,052846525;0,736236844;1,36820761;0,263763156;0,157727528;0,342739675;0,499532798
8822533;Hambos;1;2;30;0;30;1;2;42;0;42;0;0;35;0;2;0,529660494;8,087069864;3,521276595;197;336,2486147;39,44479487;45,59644088;25,69448654;0,894798137;58,8804;59;55;857;0;0;0,208394896;0,102347215;0,689257889;0,008503262;0,310742111;0,111111111;0,694444444;0,194444444
8832664;Hamont;4;3;82;0;82;65,6;100,8;126;0;126;74;2;17;16;1;0,511622299;0;0,978723406;4642;1047,312564;142,8550885;102,9325969;13,85930987;7,034161491;68,2696;438;302;3966;0,037693292;0;0,023588158;0,195492715;0,743225834;0,021585204;0,256774166;;;
8891165;Hansbeke;1;2;28;0;28;35;59;164;0;164;4;1;47;36;2;0,626736111;8,238173777;6,329787237;1511;113,6508439;92,49355595;46,32303694;1,954981201;2,446622671;63,0817;274;170;1580;0;0;0,033175649;0,045311418;0,921512933;0,036956486;0,078487067;0,335243553;0,340974212;0,323782235
8896115;Harelbeke;2;1;261;0;261;305;400;374;0;374;244;4;50;38;2;0,67490789;7,508942277;5,84042553;9803;2100,593244;252,1142181;183,1143198;186,5048376;7,555318323;73,3007;798;592;6084;0,016437737;0;0,026578046;0,076806062;0,880178155;0,187398819;0,119821845;0,174137931;0,425862069;0,4
8811155;Haren;1;4;32;0;32;;;8;0;8;298;1;92;28;6;0,564585262;9,40831497;6,063829789;4288;1149,640929;160,0462361;131,8224357;130,9666851;5,451281056;;289;218;2054;;;;;0,621453702;0,033195428;0,378546298;;;
8811130;Haren-Zuid;1;1;20;0;20;;;0;0;0;447;1;64;35;4;0,603858507;9,80861133;7,372340429;4835;1102,760453;148,375069;122,3075235;119,748295;4,84375;;276;220;1909;;;;;0,623733929;0,069334293;0,376266071;;;
8831005;Hasselt;2;4;628;549;1177;941,6;797;1400;0;1400;2000;50;159;101;8;0,687517361;5,460713918;6,212765958;14039;16234,65304;239,4637469;202,070819;177,6181302;8,190993789;86,1676;892;669;7297;0,099878841;0,184806649;0,151675127;0,134258038;0,383969676;1,150066227;0,616030324;0,086967173;0,178833905;0,734198922
8821519;Heide;2;2;209;0;209;192;412;462;0;462;7;3;102;37;6;0,661285204;5,516013164;5,606382979;3904;560,7786147;202,5586038;179,934685;113,847887;7,375776398;71,2985;335;289;3507;0,063261607;0;0,048000334;0,069577739;0,819160321;0,147335372;0,180839679;0,244558259;0,491677337;0,263764405
8891645;Heist;4;2;72;0;72;30;67;96;0;96;27;1;40;33;2;0,53371142;4,613298572;4,414893618;9434;1555,624395;187,3395507;124,8739483;135,8035217;4,581715839;75,0393;805;688;6151;;;;;0,862141369;0,060013409;0,137858631;;;
8821832;Heist-Op-Den-Berg;2;1;527;0;527;421,6;521,6;652;0;652;189;8;81;68;4;0,610351563;7,041459286;2,797872343;4963;1206,739797;176,0063292;138,658731;73,458464;7,293284161;73,3311;456;304;3643;0,020473902;0,00877453;0,035959784;0,061364283;0,873427501;0,2876392;0,126572499;0,083369899;0,264589732;0,652040369
8812153;Heizijde;1;2;47;0;47;115;107;122;0;122;0;0;65;32;4;0,614699556;6,966561815;5,276595746;3015;181,3928297;125,5716039;110,9329319;72,133304;3,683035714;60,6917;228;189;2069;0;0;0,009848277;0,034609241;0,955542482;0,03826468;0,044457518;0,294930876;0,566820276;0,138248848
8824224;Hemiksem;4;5;53;0;53;87;24;44;0;44;450;5;63;34;4;0,508646316;6,126483117;0,968085108;7830;1049,795383;187,4375858;125,2101891;138,1026611;5,86568323;74,7821;444;361;4424;0;0;0,046341249;0,062757081;0,89090167;0,022239301;0,10909833;0,442748092;0,496183206;0,061068702
8811288;Herent;1;2;250;0;250;200;99,2;124;0;124;305;5;96;74;6;0,653402778;9,214926674;7,127659572;5693;905,2492446;184,4874027;166,2751153;174,2886715;6,10636646;72,0706;519;420;4893;0;0;0,092938479;0,084572673;0,822488848;0,082579759;0,177511152;0,426540284;0,379146919;0,194312796
8821717;Herentals;2;1;590;0;590;472;708,8;886;0;886;391;19;143;70;8;0,613611111;6,124064871;5,127659578;7446;5491,831107;177,909416;169,0321771;140,0944331;6,250970497;83,7178;535;439;4601;0,050528915;0,020344597;0,066741433;0,076357276;0,704170429;0,600461138;0,295829571;0,109515997;0,290401969;0,600082034
8895646;Herne;1;2;80;0;80;117;50;75;0;75;0;0;49;28;2;0,540837674;7,913719905;4,851063832;1309;55,92616732;97,76814985;52,64307906;24,2285493;2,672748447;57,6455;151;106;1251;0;0;0,01652667;0,028373195;0,955100135;0,056415875;0,044899865;0,242258652;0,480874317;0,276867031
8895430;Herzele;1;2;198;0;198;165;82;124;0;124;58;2;48;34;2;0,634456501;6,828144273;5,074468084;3876;591,5418752;155,1894567;93,92023715;38,04380897;4,105201863;61,4947;265;201;2850;0,02307317;0;0,014234614;0,032308924;0,930383292;0,07227773;0,069616708;0,217241379;0,54137931;0,24137931
8832243;Heusden;4;2;86;0;86;68,8;70,4;88;0;88;133;4;34;30;2;0,44908613;2,501849536;0,10638298;5228;3249,456074;185,9695485;166,3733698;48,98530732;6,19371118;68,5917;401;297;3943;0;0;0,03261356;0,093775305;0,873611135;0,016843;0,126388865;0,177350427;0,44017094;0,382478632
8822459;Hever;1;5;36;0;36;14;41;56;0;56;46;2;45;0;2;0,501736111;8,280555452;3,531914893;2708;413,4661045;116,6736801;95,76955297;116,2087412;5,469720497;66,8022;262;219;2484;0;0;0,030013881;0,07453495;0,895451169;0,023547496;0,104548831;0,47826087;0,422360248;0,099378882
8833126;Heverlee;2;6;60;0;60;98;87;128;0;128;644;14;62;33;4;0,475525174;8,492359743;1,436170217;12792;6174,037741;246,9003816;240,3310211;223,3975301;7,718361801;80,9767;818;644;6625;;;;;0,384956136;0,085196147;0,615043864;;;
8895422;Hillegem;1;5;;0;;24;19;27;0;27;0;0;38;0;2;0,641111593;6,532934461;5,074468084;2146;228,453681;128,1467691;108,0230651;63,02914406;3,220108696;61,8862;185;157;1874;0;0;0;0,034060555;0,965939445;0,011283175;0,034060555;0,589473684;0,389473684;0,021052632
8824158;Hoboken-Polder;4;5;76;0;76;24;61;72;0;72;232;5;63;34;4;0,497808642;6,8347479;0,968085108;13343;3913,092636;240,0601201;223,9206427;221,4535073;7,541731366;78,7596;485;413;6451;0;0;0,178737426;0,102676952;0,718585622;0,023056923;0,281414378;0,543478261;0,420289855;0,036231884
8811460;Hoeilaart;1;5;10;0;10;8;18,4;23;0;23;0;0;36;34;2;0,551100019;8,756463537;5,872340426;3324;536,1374758;116,8948139;89,10286096;53,36174487;7,693128882;64,712;328;265;2707;0;0;0,072386401;0,060668667;0,866944932;0,053799487;0,133055068;0,543956044;0,357142857;0,098901099
8822277;Hofstade;4;5;168;0;168;134,4;38,4;48;0;48;49;2;28;0;2;0,34434076;8,42122959;2,574468084;2876;402,4669822;130,2451014;102,6002759;118,010614;6,529503106;75,7203;226;197;2607;0;0;0,023001222;0,115947784;0,861050993;0,003597534;0,138949007;0,523809524;0,317460317;0,158730159
8814159;Holleken;1;5;8;0;8;6,4;0,8;0;0;0;0;0;38;63;2;0,647801408;8,994974501;5,914893621;2217;634,418958;125,8459302;134,7584528;123,827526;3,45302795;68,0509;217;198;1944;0;0;0,047305599;0,080492394;0,872202007;0,024201593;0,127797993;0,808823529;0,117647059;0,073529412
8821337;Hove;2;2;164;0;164;131,2;302,4;378;0;378;0;0;68;64;4;0,68406684;8,156536276;6,021276595;9574;2319,781202;258,188782;223,9173151;171,9540673;8,125970497;81,5144;505;374;5447;0;0;0,054193368;0,074887699;0,870918933;0,078164604;0,129081067;0,341685649;0,521640091;0,13667426
8814415;Huizingen;1;2;117;0;117;93,6;28;35;0;35;140;1;93;28;6;0,555231964;8,817649776;3,617021276;4297;3635,01755;151,2543329;150,7573295;79,24050877;6,917701863;74,3229;274;222;3001;0;0;0,233704306;0,062025139;0,704270555;0,043333933;0,295729445;0,270833333;0,361111111;0,368055556
8895844;Iddergem;1;5;0;25;25;18;14;14;0;14;119;3;51;31;2;0,564585262;8,522851024;4,744680851;6163;668,9727723;180,8493208;131,1135609;105,6061929;4,80007764;62,6667;348;263;3637;;;;;0,845940829;0,025182738;0,154059171;;;
8895729;Idegem;1;5;70;0;70;39;12;42;0;42;0;0;51;31;2;0,604938272;5,552603666;4,744680851;1684;121,327824;95,95081031;56,22874983;42,55455356;3,516110248;55,9417;143;114;1647;0;0;0,009508657;0,085195807;0,905295536;0,026490933;0,094704464;0,579766537;0,346303502;0,073929961
8896503;Ieper;2;1;589;0;589;307;308;262;0;262;345;13;45;35;2;0,656775174;1,999534137;4,89361702;7476;5858,085444;194,8599305;168,7116593;150,2957953;7,733889752;81,9892;883;639;5588;0,171291366;0,03510069;0,13848549;0,14722119;0,507901264;0,201298383;0,492098736;0,105960265;0,315673289;0,578366446
8896925;Ingelmunster;1;2;104;0;104;64;149;180;0;180;96;3;71;46;4;0,594184028;6,281179405;5,723404258;4506;1321,753912;173,7353232;137,661734;114,8470843;6,358695652;78,598;418;299;4132;0;0;0,072037658;0,061524729;0,866437613;0,089938351;0,133562387;0,196454948;0,418020679;0,385524372
8896909;Izegem;2;1;528;0;528;273;469;795;0;795;80;3;79;46;4;0,585650077;5,806376703;5,723404258;7443;3900,793299;188,0898667;151,8437412;119,7905151;8,024068323;83,3658;490;348;4522;0,038965386;0,011507912;0,070268346;0,074732615;0,804525742;0,2142168;0,195474258;0,146732429;0,516646116;0,336621455
8812047;Jette;3;4;185;0;185;;;130;0;130;1389;3;173;102;10;0,558341049;9,227877147;6,574468087;31619;11074,63283;263,745256;241,1587912;226,6582859;8,929541925;;837;648;4241;;;;;0,566857242;0,496786748;0,433142758;;;
8821444;Kalmthout;2;1;210;0;210;190;298;310;0;310;38;3;102;37;6;0,671489198;4,971757938;5,617021278;3840;1138,531731;173,331744;153,6482828;66,59691584;6,294642857;72,0258;511;344;3406;0,129739521;0,043586362;0,054646051;0,07230881;0,699719255;0,117737478;0,300280745;0,28746594;0,433242507;0,279291553
8821535;Kapellen;2;1;158;0;158;175;440;452;0;452;274;6;102;37;6;0,646684028;5,964678126;5,617021278;9801;3165,908765;217,2139619;197,2803785;110,3096058;8,970302795;79,5378;488;352;4735;0,04701522;0,018673235;0,065616086;0,06903051;0,799664949;0,193776266;0,200335051;0,195702226;0,479662318;0,324635457
8822053;Kapelle-Op-Den-Bos;1;1;119;0;119;95,2;134,4;168;0;168;211;5;42;32;2;0,583526235;8,28983023;3,563829789;4400;1241,030419;144,5277298;89,16146889;22,91830257;5,322204969;67,7236;288;209;3282;0,113980424;0;0,072953498;0,049397282;0,763668796;0,057724069;0,236331204;0,21633888;0,475037821;0,308623298
8821659;Kessel;1;2;72;0;72;92;86;168;0;168;24;3;48;34;2;0,542882427;7,28545887;5,127659578;3294;349,4756348;158,2837604;130,4806787;86,97844873;5,697787267;66,7397;253;219;2952;0;0;0,019354468;0,052085304;0,928560228;0,068026098;0,071439772;0,307174888;0,596412556;0,096412556
8832375;Kiewit;4;3;82;0;82;65,6;75,2;94;0;94;293;13;49;33;2;0,525625;4,467036656;4,96808511;3173;2605,012805;114,3223857;111,3221422;112,3152151;6,063664596;75,3013;288;240;2728;;;;;0,244917784;0,082906808;0,755082216;;;
